Symbol,years,bh_cagr,bh_sharpe,bh_maxdd,sma_cagr,sma_sharpe,sma_maxdd,Company Name,Industry
ADANIGREEN,8.054757015742641,0.6163404776151185,1.0526242471722163,-0.8444032949984748,0.7381904402647348,1.4608311173612663,-0.493000215193955,Adani Green Energy Ltd.,Power
BSE,9.423682409308693,0.47621077758453634,1.000394918036665,-0.7186713660943886,0.5631124569963588,1.2375459017961503,-0.4045531335083825,BSE Ltd.,Financial Services
DIXON,8.802190280629706,0.4243550017661426,0.9447905973797808,-0.5733257750244677,0.4581393854053666,1.2022355046798707,-0.33074822462745623,Dixon Technologies (India) Ltd.,Consumer Durables
KALYANKJIL,5.284052019164956,0.35773392899492906,0.7770694643170173,-0.5789211942953039,0.4869926373778688,1.1962138825017126,-0.38724441317787583,Kalyan Jewellers India Ltd.,Consumer Durables
MAZDOCK,5.735797399041752,0.8250156216160331,1.3364569123293206,-0.4460298383445267,0.5966258908374731,1.144937402263688,-0.34725828676370996,Mazagoan Dock Shipbuilders Ltd.,Capital Goods
POWERINDIA,6.272416153319644,0.8327744322981163,1.473569368496075,-0.40305983306695803,0.5360085124242417,1.1405776844866713,-0.40530546334895134,Hitachi Energy India Ltd.,Capital Goods
ATGL,7.671457905544147,0.33746554587582867,0.6949959559355482,-0.8804822254164063,0.5280822652594439,1.0997797512446283,-0.5027852856438878,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels
KPITTECH,7.211498973305955,0.27017021807571195,0.629164146997504,-0.6997403573455369,0.44529010708655514,1.0811589857090147,-0.47220317943150736,KPIT Technologies Ltd.,Information Technology
IRFC,5.437371663244353,0.30482027661219013,0.7132513729014364,-0.5847045798540469,0.43896211983602296,1.0775349198206896,-0.3521389523613988,Indian Railway Finance Corporation Ltd.,Financial Services
RVNL,7.241615331964408,0.44420225679969927,0.8603780412544251,-0.6429766945744904,0.4885276324684411,1.0456139824222754,-0.44802495360678674,Rail Vikas Nigam Ltd.,Construction
LAURUSLABS,9.54962354551677,0.33582544588328744,0.8407677287390436,-0.5888896224039396,0.35642679256742205,1.0361310883267267,-0.36089624414027444,Laurus Labs Ltd.,Healthcare
SOLARINDS,20.262833675564682,0.34305899176891463,0.8409862933178356,-0.6514736738631929,0.3547335467184658,1.031110318036157,-0.39594962683903046,Solar Industries India Ltd.,Chemicals
ADANIENSOL,10.937713894592745,0.4543898056264004,0.8748120227583528,-0.8536683357796555,0.4592995692004025,1.0179641884626818,-0.5068771164580692,Adani Energy Solutions Ltd.,Power
NEWGEN,8.438056125941136,0.17629237311886592,0.45146512241775244,-0.7697642978056695,0.38905273000810814,0.9934341561835554,-0.4800432968378232,Newgen Software Technologies Ltd.,Information Technology
