eq_lev,target_vol,dd_budget,stress,CAGR,ExcessOverCash,MaxDD,AnnVol,Sharpe,WorstYear,AvgExposure,Turnover/yr,passes
1.0,0.06,0.1,8sig,0.06820856636053962,0.020520126056149612,-0.1112097994620398,0.05789890169976783,0.35260364791405757,-0.05545576745146408,0.8827730334378504,1.0121117209070847,False
1.0,0.06,0.1,worst,0.06654317698852519,0.018854736684135176,-0.07303186432286402,0.05030896686308307,0.3676705223846656,-0.03579509193588193,0.7602858614205839,1.36724153079198,True
1.0,0.06,0.2,8sig,0.07004689112598772,0.02235845082159771,-0.1197472201745341,0.060003341751228886,0.3699844938049701,-0.056194940051768505,0.9199961861519119,0.4875683124861709,False
1.0,0.06,0.2,worst,0.07005693147664349,0.02236849117225348,-0.11974722017453354,0.05998757207678271,0.37021712436876253,-0.05584109741425802,0.9199306151340756,0.49174892466688375,False
1.0,0.1,0.1,8sig,0.07103129435744293,0.02334285405305292,-0.11338793728256402,0.06147765586418101,0.3770239833635545,-0.052726354318923585,0.9344545701705953,0.991252260509967,False
1.0,0.1,0.1,worst,0.06800395479069898,0.020315514486308972,-0.07590188725728753,0.05123102719029475,0.3877702398125358,-0.03578881012631985,0.7753462779704975,1.6348689540556631,True
1.0,0.1,0.2,8sig,0.07378082875305658,0.02609238844866657,-0.14167127278140845,0.0648711846237048,0.39878136204758297,-0.07207581293774024,0.994509517201032,0.028642950994039434,False
1.0,0.1,0.2,worst,0.07327787481271186,0.02558943450832185,-0.144686381917007,0.0647444343607642,0.39244346308369726,-0.07644595967806966,0.9924784326536795,0.06481316854817273,False
2.0,0.06,0.1,8sig,0.06628543861953173,0.018596998315141722,-0.13083340111479447,0.05929701767799874,0.3163028823729846,-0.06732823500754981,0.7941197051188936,1.0880862302009588,False
2.0,0.06,0.1,worst,0.0626850682725808,0.01499662796819079,-0.07304259821894066,0.0497452619159863,0.3008779152367097,-0.039540653041660545,0.6711831219488775,1.0710266165745663,True
2.0,0.06,0.2,8sig,0.0677491681566964,0.020060727852306393,-0.12883381873280653,0.061637835721123996,0.3280851511981965,-0.07328832347301761,0.8357312162450264,0.6572740268093588,False
2.0,0.06,0.2,worst,0.06765000032434743,0.019961560019957414,-0.12258663652788038,0.061498898825764044,0.32722817677856636,-0.07010329376791413,0.8340451020651359,0.6724802983860619,False
2.0,0.1,0.1,8sig,0.06619749332762903,0.01850905302323902,-0.14696770522425162,0.06602005388436927,0.2892660714688926,-0.07273151281701917,0.8762602141965967,1.5538099159664873,False
2.0,0.1,0.1,worst,0.06287160079329368,0.015183160488903669,-0.07845124160239059,0.050440843855142435,0.30078145843833703,-0.03830489964814987,0.6797008291641149,1.275922971185748,True
2.0,0.1,0.2,8sig,0.07111795118308595,0.023429510878695936,-0.15630089368078814,0.07336475404922634,0.32792019039701104,-0.08254457299791906,0.9920339796082522,0.08328377492426191,False
2.0,0.1,0.2,worst,0.07098077538661585,0.023292335082225835,-0.15246426406251712,0.07244304597851019,0.3294585388926237,-0.09009600027541453,0.9812269745746471,0.1637212810557571,False
3.0,0.06,0.1,8sig,0.07067523320828162,0.022986792903891606,-0.11010695240678092,0.06027109976950638,0.3780247881644019,-0.05091607212246563,0.7567859316701517,1.012953505119956,False
3.0,0.06,0.1,worst,0.06578308199748628,0.01809464169309627,-0.0806741973192101,0.05074480857235806,0.3513798443021278,-0.026821120431863243,0.6398659112220454,0.9754594665257302,True
3.0,0.06,0.2,8sig,0.0710043098277171,0.023315869523327093,-0.14474421111392533,0.062360052538016617,0.3721770100763032,-0.07964301702052268,0.7914672578696365,0.6791136381622581,False
3.0,0.06,0.2,worst,0.07048024950143073,0.022791809197040713,-0.15149598299645017,0.062259153010551814,0.3650844726671216,-0.08525152581097362,0.7900234065399779,0.684704567548375,False
3.0,0.1,0.1,8sig,0.07354131474659975,0.02585287444220974,-0.11699209201378236,0.06928746271020686,0.3745346674358755,-0.050029978310145995,0.8704299699169508,1.5313018014259836,False
3.0,0.1,0.1,worst,0.06580238570722674,0.01811394540283673,-0.08023074090314819,0.05140900121368377,0.3478384886773671,-0.024879429959398514,0.6485879789064407,1.1674371948531643,True
3.0,0.1,0.2,8sig,0.0755949721518554,0.027906531847465388,-0.20306700847825288,0.07789596801914221,0.36497308575408205,-0.11907398381580614,0.9892912952761016,0.11328023995417813,False
3.0,0.1,0.2,worst,0.07611677816363915,0.028428337859249142,-0.1674060970590413,0.07617735832243537,0.37763516068919833,-0.09335215673934227,0.9669691754520693,0.24722464053007487,False
